"GAZİ MAHALLESİ SAHASI","26 Aralık 2015 Cumartes","10:45 ","GAZİ MAHALLESİ - ESENLER TURGUTREİS ","U-14 ","15.GRUP ","BURHAN SARICA",NULL,NULL
"GAZİ MAHALLESİ SAHASI","26 Aralık 2015 Cumartes","12:30 ","YENİ ÖZKARTAL - OKMEYDANI FETİH ","1.AL.","11.GRUP ","SONER DEMİRALP","FURKAN SAYGILAR","ERKAN ERZEN"
"GAZİ MAHALLESİ SAHASI","26 Aralık 2015 Cumartes","14:30 ","PAZARİÇİ KÖPRÜLÜ - MERKEZEFENDİ ","S.AL.","1.GRUP ","VEYSEL KARATAPAN","ALİ ANIL ÖZDEMİR","VOLKAN İPÇİOĞLU"
"GAZİOSMANPAŞA STADI","26 Aralık 2015 Cumartes","14:00 ","GAZİOSMANPAŞA - ÇATALCA ","U-16 ","42.GRUP ","FURKAN ÇELİK","EROL SARA","MUHAMMED EŞ"
"GÜNGÖREN BLD. GÜNEŞTEPE SAHASI","26 Aralık 2015 Cumartes","09:00 ","GÜNEŞTEPE - BAĞCILAR ","U-14 ","29.GRUP ","YUSUF GENÇ",NULL,NULL
"GÜNGÖREN BLD. GÜNEŞTEPE SAHASI","26 Aralık 2015 Cumartes","10:45 ","HAZNEDAR İD.OCAĞI - KADIRGA ","U-14 ","11.GRUP ","YUSUF GENÇ",NULL,NULL
"GÜNGÖREN BLD. GÜNEŞTEPE SAHASI","26 Aralık 2015 Cumartes","12:30 ","GÜNGÖRENSPOR - KÜÇÜKÇEKMECE İ.Y. ","U-14 ","17.GRUP ","KÜBRA COŞGUN",NULL,NULL
"GÜNGÖREN BLD. GÜNEŞTEPE SAHASI","26 Aralık 2015 Cumartes","14:30 ","HAZNEDAR ÇETİNKAYA - İSTANBUL GÜMÜŞHANE ","U-16 ","10.GRUP ","ÜMİT KEKLİK","KÜBRA COŞGUN","ALİ KARABULUT"
"HALKALI ETAP STADI","26 Aralık 2015 Cumartes","09:00 ","İSTANBUL DEMİR - ŞEHZADEBAŞI ","U-14 ","19.GRUP ","İBRAHİM YILMAZ",NULL,NULL
"HALKALI ETAP STADI","26 Aralık 2015 Cumartes","10:45 ","İSTANBUL DEMİR - GİRESUN EMEKSAN ","1.AL.","9.GRUP ","SERHAT ATEŞ","RESUL KOCAMEŞE","İBRAHİM YILMAZ"
"HALKALI ETAP STADI","26 Aralık 2015 Cumartes","12:30 ","İSTANBULSPOR A.Ş. - KOCAELİ BİRLİKSPOR ","CC.U1","Coca-Cola U1","YASİN ESEN","SELMA ARDALI","GÜRKAN ILGAZCAN"
"HALKALI ETAP STADI","26 Aralık 2015 Cumartes","14:30 ","İSTANBULSPOR A.Ş. - KOCAELİ BİRLİKSPOR ","CC.U1","Coca-Cola U1","SERCAN BİLGİN","SELMA ARDALI","GÜRKAN ILGAZCAN"
